itemcode,itemname,Sequence,Wt,source_fct,fdc_id,food_desc,Edible_factor_in_FCT,ENERCkJ,ENERCkcal,WATERg,ASHg,PROCNTg,FAT_g_standardised,FIBTGg,ALCg,CHOAVLg,CHOAVLDFg,FEmg,ZNmg,VITA_RAEmcg,THIAmg,RIBFmg,NIAmg,FOLmcg_standardised,VITB6_mg_standardised,VITB12mcg,RETOLmcg,CARTBmcg,CARTAmcg,CRYPXBmcg,CARTBEQmcg
1004,OTHER SPICES,NA,1,From averages worksheet,NA,NA,0.940098119378577,1207.741210139,289.684791496321,21.3496320523303,3.87653311529027,11.4131234668847,8.67170891251022,26.3158217497956,NA,NA,28.431725265739999,21.6831561733442,2.9436017988552701,39.4591169255928,0.22642681929681099,0.291091578086672,2.8085445625511,52.958708094848703,0.20166481240700801,0,0,NA,NA,NA,472.94766966475902
1081,WHEAT FLOUR,NA,1,From averages worksheet,NA,NA,1,1435,340,12.35,1.1499999999999999,10.85,2.15,8.4,NA,NA,65.099999999999994,3,1.75,0,0.32,0.115,2.55,NA,0.45551075268817198,0,0,NA,NA,NA,2.5
1082,BARLEY GRAIN AND OTHER CEREALS,NA,1,From averages worksheet,NA,NA,1,1434.1826086956501,341.982608695652,11.0959130434783,1.3562608695652201,10.6153913043478,1.71930434782609,14.932173913043499,NA,NA,NA,3.50173913043478,2.4931304347826102,0.582608695652174,0.27406086956521702,0.120678260869565,3.80928695652174,37.191304347826097,0.35670362983645798,0,0,NA,NA,NA,9.6608695652173893
1101,TEA DRY,NA,NA,TZ08,468,Tea leaves,1,NA,1,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
1102,COFFEE AND COCOA,NA,1,From averages worksheet,NA,NA,1,1441.94444444444,342.944444444445,2.80833333333333,8.7194444444444397,14.475,5.15277777777778,17.5,NA,NA,51.788888888888899,3.63611111111111,0.82666666666666699,8.47222222222223,4.1666666666666701E-3,0.881944444444444,37.0111111111111,12.0277777777778,2.7237827715355802E-2,0,8.3333333333333393,NA,NA,NA,1.25
1103,OTHER RAW MATERIALS FOR DRINKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",NA,1,From averages worksheet,NA,NA,1,39.324877614597298,9.34054294615043,97.515268802848198,0.111795282599021,0.0854695149087673,0.0221597685803293,0.16718736092567901,NA,NA,NA,0.053888295505118,1.18166444147753E-2,2.51303960836671,7.8104138851802498E-3,0.00595576323987539,0.0544215843346685,2.0886070315976899,NA,0,0,NA,NA,NA,NA
1105,"PREPARED TEA, COFFEE",NA,1,From averages worksheet,NA,NA,1,16.5482954545454,3.92897727272727,99.251732954545403,2.9261363636363599E-2,0.287045454545454,0.0988636363636363,4.5454545454545496E-3,NA,NA,NA,0.0219886363636364,2.64772727272727E-2,1.15340909090909,6.1051136363636403E-3,0.0505852272727273,0.0398011363636364,8.2386363636363605E-2,NA,1.4005681818181801E-2,1.07102272727273,NA,NA,NA,0.49431818181818199
1106,BOTTLED BEER,NA,NA,WA19,12_001,"Beer, European (4.6% v/v alcohol)",1,172,41,92.3,0.1,0.3,0,0,3.6,NA,3.7,0,0.01,0,0.01,0.02,0.5,6,0.03,0,0,0,0,0,0
1107,LOCAL BREWS,NA,NA,WA19,12_004,"Beer, sorghum (ca. 3% v/v alcohol)",1,112,27,95,0.2,0.4,0,0.1,2.5,NA,1.9,0.2,7.0000000000000007E-2,0,0.04,0.05,0.4,6,0.05,0,0,0,0,0,0
1108,WINE AND SPIRITS,NA,1,From averages worksheet,NA,NA,1,528.66666666666697,127,81.233333333333306,0.17,0.1,0,0,NA,NA,NA,0.28,6.3333333333333297E-2,0,2E-3,0.00133333333333333,0.137666666666667,0.33333333333333298,1.7244648318042798E-2,0,0,NA,NA,NA,0
4011,PEAS,SUMMARY,1,NA,NA,NA,0.66218500797448132,810.02870813397078,191.73684210526304,45.913716108452988,1.6411483253588508,13.242902711323756,1.2129186602870807,11.846889952153106,0,0,26.042424242424218,3.5575279106858044,4.0344976076555,19.314194577352488,0.542185007974481,0.14709728867623603,2.42822966507177,170.692185007975,0.13449826989619401,0,0,0,0,0,235.19776714513574
4012,GREEN BEANS,SUMMARY,1,NA,NA,NA,0.92,167,40,87,1.2,2,0.3,4.4000000000000004,0,NA,5.2,1.2,0.2,19,0.11,0.1,0.8,36,0.37,0,0,225,4,0,227
4013,"OTHER BEANS, LENTILS, AND PULSES",SUMMARY,1,NA,NA,NA,1.0000000000000002,1363.693302387268,324.5291145635973,12.591277472527473,3.9106383415435144,23.752647783251238,5.415795282303905,18.263221548566378,NA,NA,36.011893709738544,7.749653119868638,3.24086570039156,2.1411361626878844,0.777326954654541,0.13070433876468363,1.922961191107743,382.908803839838,0.4141904966655871,0,0,NA,NA,NA,8.4000129224009807
6011,ONIONS,SUMMARY,1,NA,NA,NA,0.8899999999999999,155,36.666666666666664,89.333333333333329,0.6333333333333333,1.4666666666666668,0.16666666666666666,2.1333333333333333,NA,NA,6.2666666666666657,0.9666666666666667,0.246666666666667,17.999999999999996,0.0266666666666667,0.04666666666666666,0.36666666666666664,26.3333333333333,9.5477302523762686E-2,NA,NA,NA,NA,NA,214
6012,TOMATOES,SUMMARY,1,NA,NA,NA,0.98,93.5,22.5,93.4,0.55000000000000004,1.05,0.2,1.5,NA,NA,3.3,0.65,0.285,14.5,0.06,0.07,0.5,17,NA,0,0,NA,NA,NA,174
