itemcode,itemname.x,median,median_se,qt_q25,qt_q75,qt_q25_se,qt_q75_se,itemname.y,per
4011,Peas,21.74748039796511,1.4205810476082492,12.091549115006956,35.47253238732024,0.8785139718070069,2.0448827936552654,PEAS,14
8082,Kolekole (fresh),20.808301762344893,3.1001544428684173,13.900295339769553,46.11223752003109,2.25393457091296,13.169610649578582,KOLEKOLE (FRESH),1.7
8084,Other fresh fish and seafood,20.316178780651946,1.2522575459023848,9.816851666708958,39.80098612000045,0.6734667772103528,3.1288880418646614,OTHER FRESH FISH AND SEAFOOD,14.6
503,"Cashew, almonds and other nuts",20.180107902583067,4.608817060398722,11.268232028971582,41.60178541734454,1.9406702303773409,16.776724320424105,"CASHEW, ALMONDS AND OTHER NUTS",1.9
501,Groundnuts in shell/shelled,19.917363587357563,1.2627647071595038,10.805123130043183,40.14598151306815,0.42752866594292305,2.8070011609605654,GROUNDNUTS IN SHELL/SHELLED,27.9
603,"Canned, dried, and wild vegetables",17.106885527156155,2.875628746784278,9.08446801770357,51.46233386795204,1.2276576627648923,9.2844978592968,"CANNED, DRIED, AND WILD VEGETABLES",9.9
303,"Honey, syrups, jams, marmalade, jellies, canned fruits",16.9000495789632,1.9617380618645295,9.880105237183562,47.54941883335421,1.0033201560326477,7.718969742773214,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS",8.8
1001,Cooking oil,15.101080281351448,0.3690764239553496,8.661851782645646,25.24631504466689,0.2699822572988601,0.524288155090528,COOKING OIL,89.1
808,Fresh fish and seafood (including dagaa),14.578290842235381,2.5131753332707842,5.7828382949011266,36.024885182893065,0.9268795863734832,7.279819499422331,NA,NA
809,Dried/salted/canned fish and seafood (incl. Dagaa),14.214446799132478,0.5868772287100006,7.944657913408416,27.39044315845618,0.34625231048168786,1.0279297291591607,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),34.7
6013,"Carrots and green pepper, other viungo",13.662702566086939,0.7843947309771957,7.109263958229822,26.092564062900443,0.3009508197401393,1.445949965698132,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",34.8
903,Canned milk/milk powder,12.852564422666882,5.173768253091659,4.239051572555149,25.47044274633587,2.1521732795230033,NA,CANNED MILK/MILK POWDER,0.6
805,Wild birds and insects,12.616107005380737,NA,3.989921506969586,30.91240576506248,NA,NA,WILD BIRDS AND INSECTS,0.2
6011,Onions,12.24045277813164,0.2628926855191122,7.247411419544684,19.938928391420824,0.18056129353041694,0.5167485763275368,ONIONS,90.7
8081,Dagaa (fresh),11.146196375345253,0.5316243496477638,5.315348548102905,23.16634120748778,0.2705108287196264,1.0738890811285877,DAGAA (FRESH),41.8
1002,"Butter, margarine, ghee and other fat products",10.145627835435056,0.868543398063915,6.809001485408294,16.668719537470228,1.0127801116044992,1.6062330176721893,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",2.5
807,Eggs,9.813504682264304,0.49819253719676804,5.181409880124612,17.088668611170824,0.41396333900726445,1.119565036520507,EGGS,16.7
1103,Other raw materials for drinks,8.896196019930418,NA,8.896196019930418,8.896196019930418,NA,NA,OTHER RAW MATERIALS FOR DRINKS,1.8
7021,Lemon/lime,8.206638134981503,0.36572156710558207,4.269339360783836,15.609787198581627,0.21036712183116266,0.8594612483630654,LEMON/LIME,27.4
1003,Salt,7.32599558385192,0.10285984750076475,5.0714749082079695,10.783264258045213,0.07968687494433616,0.17004673581825056,SALT,98.7
810,Packaged/canned fish,6.332133263379992,NA,6.332133263379992,6.391990810142249,NA,NA,PACKAGED/CANNED FISH,0.05
1004,Other spices,6.1230742478132925,0.528381871428805,2.291270799000617,13.53589297161563,0.27493830424958055,1.1504245619181066,OTHER SPICES,11.1
1102,Coffee and cocoa,5.564583031584447,1.6450773118020485,1.3951194414203427,13.571032707958475,0.8040661274551313,3.0973573393515235,COFFEE AND COCOA,1.7
11021,Cakes and biscuits,3.5757588699963905,0.43170446736473767,2.064315922220658,8.55054361832776,0.24085440960494284,1.0764291441027454,CAKES AND BISCUITS,5.8
302,Sweets,1.17892515751107,0.11118326208902261,0.4445074286627938,2.7036762487440034,0.05483939761741406,0.2568366644859177,SWEETS,6.2
1101,Tea dry,0.8496183082279056,0.024064864381349672,0.5175599201718474,1.3785032595494793,0.013753620750175952,0.047427804467951556,TEA DRY,43.7
