hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,educ_head,year,month,survey_wgt,ea,hhsize,headwork,educ_head2
8871-001-01,4,41,Rural,5,5,80,Female,NA,2021,3,2194.26963686308,NA,4,1,3
8871-001-01,4,41,Rural,5,5,80,Female,NA,2021,3,2194.26963686308,NA,4,14,3
8871-001-03,3,37,Rural,5,5,43,Female,15,2021,12,2378.39679679201,NA,2,1,1
8871-001-03,3,37,Rural,5,5,43,Female,15,2021,12,2378.39679679201,NA,2,11,1
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,1,2
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,1,2
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,14,2
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,14,2
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,14,2
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,14,2
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,14,2
8872-001-01,4,41,Rural,3,3,47,Male,18,2021,3,3076.44327017482,NA,8,14,2
8872-001-03,4,41,Rural,3,4,28,Male,24,2021,3,4269.8028175539,NA,3,4,3
8872-001-03,4,41,Rural,3,4,28,Male,24,2021,3,4269.8028175539,NA,3,1,3
8872-001-03,4,41,Rural,3,4,28,Male,24,2021,3,4269.8028175539,NA,3,17,3
8872-001-04,4,41,Rural,4,4,32,Male,34,2021,3,3638.92101413899,NA,3,5,3
8872-001-04,4,41,Rural,4,4,32,Male,34,2021,3,3638.92101413899,NA,3,11,3
8872-001-04,4,41,Rural,4,4,32,Male,34,2021,3,3638.92101413899,NA,3,17,3
8873-001-01,4,41,Rural,3,4,74,Male,14,2021,3,5642.53356753303,NA,2,1,1
8873-001-01,4,41,Rural,3,4,74,Male,14,2021,3,5642.53356753303,NA,2,1,1
8885-001-01,4,42,Rural,3,3,56,Male,18,2021,6,8249.4633680243,NA,7,1,2
8885-001-01,4,42,Rural,3,3,56,Male,18,2021,6,8249.4633680243,NA,7,1,2
8885-001-01,4,42,Rural,3,3,56,Male,18,2021,6,8249.4633680243,NA,7,1,2
