hhid,groupcode,groupname,grpcons,cons
1076-001-01,4,Vegetables,126.49980882259842,1
1076-001-01,5,NA,NA,0
1076-001-01,6,Beverages,0.9697421344857604,1
1076-001-01,7,Sugar and sweets,9.697421344857604,1
1076-001-01,8,NA,NA,0
1076-001-01,9,NA,NA,0
1076-001-01,10,NA,NA,0
1076-001-01,11,Oil and fats,8.834350845165277,1
1076-001-01,12,Milk and milk products,143.23091326354682,1
1076-001-01,13,Spices and other foods,3.8789685379430416,1
1077-001-01,1,Cereals and cereal products,1044.9452634069612,1
1077-001-01,2,Starches,71.5610526486358,1
1077-001-01,3,"Pulses, dry",38.47368421969667,1
1077-001-01,4,Vegetables,129.1134119697129,1
1077-001-01,5,Fruits,19.236842109848332,1
1077-001-01,6,Beverages,0.1923684210984833,1
1077-001-01,7,Sugar and sweets,57.710526329545,1
1077-001-01,8,NA,NA,0
1077-001-01,9,"Meat, meat products and fish",19.236842109848332,1
1077-001-01,10,NA,NA,0
1077-001-01,11,Oil and fats,35.01105263992396,1
1077-001-01,12,Milk and milk products,142.06407898122993,1
1077-001-01,13,Spices and other foods,7.694736843939332,1
1078-001-01,1,Cereals and cereal products,285.1085459504865,1
1078-001-01,2,Starches,147.91345616980126,1
1078-001-01,3,"Pulses, dry",21.222365450449747,1
1078-001-01,4,Vegetables,19.421679897078253,1
1078-001-01,5,Fruits,103.36792545663502,1
1078-001-01,6,Beverages,1.0718366389116034,1
1078-001-01,7,Sugar and sweets,21.436732778232066,1
1078-001-01,8,NA,NA,0
1078-001-01,9,"Meat, meat products and fish",7.202742213485976,1
1078-001-01,10,NA,NA,0
1078-001-01,11,Oil and fats,19.50742682819118,1
1078-001-01,12,Milk and milk products,169.61814810776121,1
1078-001-01,13,Spices and other foods,2.6795915972790083,1
1079-001-01,1,Cereals and cereal products,161.04753878347069,1
1079-001-01,2,Starches,33.283158015250606,1
1079-001-01,3,"Pulses, dry",17.89417097594119,1
1079-001-01,4,Vegetables,12.126312736686607,1
1079-001-01,5,Fruits,35.78834195188237,1
1079-001-01,6,Beverages,2.684125646391178,1
1079-001-01,7,Sugar and sweets,17.894170975941186,1
1079-001-01,8,NA,NA,0
1079-001-01,9,"Meat, meat products and fish",4.473542743985297,1
1079-001-01,10,NA,NA,0
1079-001-01,11,Oil and fats,8.15079487954121,1
1079-001-01,12,Milk and milk products,132.14845265732566,1
1079-001-01,13,Spices and other foods,4.473542743985297,1
1080-001-01,1,Cereals and cereal products,306.28217706207124,1
1080-001-01,2,Starches,35.94987053266061,1
1080-001-01,3,NA,NA,0
1080-001-01,4,Vegetables,17.982592320756858,1
1080-001-01,5,NA,NA,0
1080-001-01,6,Beverages,1.27617573775863,1
1080-001-01,7,Sugar and sweets,38.285272132758905,1
1080-001-01,8,NA,NA,0
1080-001-01,9,NA,NA,0
1080-001-01,10,NA,NA,0
1080-001-01,11,Oil and fats,11.625960970981122,1
1080-001-01,12,Milk and milk products,13.46365403335355,1
1080-001-01,13,Spices and other foods,6.3808786887931515,1
1081-001-01,1,Cereals and cereal products,531.3542733385306,1
1081-001-01,2,Starches,43.84733577682639,1
1081-001-01,3,"Pulses, dry",23.57383643915398,1
1081-001-01,4,Vegetables,103.22911442886301,1
1081-001-01,5,Fruits,20.03776097328088,1
1081-001-01,6,Beverages,2.3573836439153975,1
1081-001-01,7,Sugar and sweets,47.14767287830795,1
1081-001-01,8,NA,NA,0
1081-001-01,9,"Meat, meat products and fish",57.755899275927234,1
1081-001-01,10,NA,NA,0
1081-001-01,11,Oil and fats,42.90438231926023,1
1081-001-01,12,Milk and milk products,696.3711284126084,1
1081-001-01,13,Spices and other foods,9.42953457566159,1
1082-001-01,1,Cereals and cereal products,267.0826596641502,1
1082-001-01,2,NA,NA,0
1082-001-01,3,"Pulses, dry",24.84027712650207,1
1082-001-01,4,Vegetables,261.82043241529027,1
1082-001-01,5,Fruits,37.260415689753096,1
1082-001-01,6,Beverages,2.4840277126502066,1
1082-001-01,7,Sugar and sweets,49.68055425300413,1
1082-001-01,8,NA,NA,0
1082-001-01,9,"Meat, meat products and fish",36.018401833427994,1
1082-001-01,10,NA,NA,0
1082-001-01,11,Oil and fats,45.20930437023376,1
1082-001-01,12,Milk and milk products,366.8908931584355,1
1082-001-01,13,Spices and other foods,12.420138563251033,1
1083-001-01,1,Cereals and cereal products,635.919749692216,1
1083-001-01,2,Starches,28.919722456752904,1
1083-001-01,3,NA,NA,0
