hhid,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
1135-001-01,989.4246284635826,44.51492980968016,0.28552164268013763,0.3032677025610798,3.7927771405325394,0.18569149603131813,92.27317587749855,0.4728235010177117,4.542423618591567,3.612734278752869
1140-001-01,1773.143838652188,26.764192184243534,0.9123497245806902,0.47456925595642346,7.990189326267735,0.8306974890713504,179.92726259985227,0.3904429245838046,9.044422219000095,6.300799231515461
1140-001-03,937.5076392474025,34.50845764560937,0.5169754263479047,0.3120048374180723,3.853439528792825,0.39667155057172987,118.8268540753275,0.2067955956642436,4.913770130980972,3.4442279800446647
1152-001-01,4627.012097980154,178.84034960205008,2.1659899712328494,1.5564917485414913,26.3848438086819,2.516823564306637,555.0761314508262,13.471076544759455,33.202213312713354,18.73722706119595
1154-001-01,2138.095718784427,246.84897886762496,1.6192605074281812,1.0927125156796322,27.803266310826395,4.246362654564072,284.24514308100976,55.53311799773165,20.946502157614418,21.26216127448538
1155-001-01,2624.3859316364483,152.88331897490204,2.161622675744122,0.9118314554214513,14.068399359429172,1.9517093557777332,704.7225872152801,7.611950771718353,20.49675487635928,11.874031309148666
1158-001-02,1386.7036617080269,114.3256717958865,1.062417603489028,0.5105512181930733,9.386730702604469,1.1717559023778694,335.9796391663843,1.6694622423733811,12.647721626719823,6.208835164197127
1159-001-01,2853.1611775699503,547.4972926070437,1.8624271470895866,1.1403634160462481,19.74896547281331,2.933711839813591,519.8360004921566,26.080056276264063,22.592668323608137,15.612871002168534
1162-001-01,2885.286628509799,377.6307796862837,1.3659793399567592,1.1349050324109997,17.97421347310212,0.8271395438922486,382.0518453316391,13.881126318242519,19.307646215882556,14.889805131884026
1172-001-03,1624.5871413461348,153.64465131576006,0.7154805732946744,0.36493818137304507,8.814909269277358,0.845925091535349,182.49657126108661,4.059417037551587,7.273192638044838,3.1149189787663008
1173-001-01,2542.586118433926,308.8662707574182,1.1513190635261825,1.168075016096513,23.861293696983175,2.195377213453908,288.8887619756739,37.462500074842794,19.434980874758928,17.944514058336825
1177-001-01,3203.406493962167,214.7144153980266,2.1676284887137403,1.2393233424316554,15.50586215047116,1.8682823338530339,581.447525006837,1.3312163859532333,23.107225520925724,13.536644016340327
1177-001-03,1046.730123682232,114.65622513869006,0.427326903121036,0.42373507000489896,4.478767922040036,0.49127567273889317,136.54693997743573,0.16687482036421816,5.651263440093461,3.6405734647338974
